"","club","value_eur","Year"
"29072","Arsenal Tula",2200000,"FIFA 18"
"29073","Brøndby IF",2800000,"FIFA 18"
"29074","Sivasspor",2800000,"FIFA 18"
"29075","Real Sporting de Gijón",2200000,"FIFA 18"
"29076","PAOK",2200000,"FIFA 18"
"29077","Dinamo Moscow",2200000,"FIFA 18"
"29078","Granada CF",2200000,"FIFA 18"
"29079","Leeds United",2700000,"FIFA 18"
"29080","Brøndby IF",2200000,"FIFA 18"
"29081","Lokomotiv Moscow",2200000,"FIFA 18"
"29082","Club Atlas",2200000,"FIFA 18"
"29083","Empoli",2200000,"FIFA 18"
"29084","CD Tenerife",2800000,"FIFA 18"
"29085","Vitesse",2800000,"FIFA 18"
"29086","Racing Club de Lens",2200000,"FIFA 18"
"29087","Birmingham City",2200000,"FIFA 18"
"29088","FC Midtjylland",2800000,"FIFA 18"
"29089","Brentford",2800000,"FIFA 18"
"29090","PEC Zwolle",2800000,"FIFA 18"
"29091","Real Salt Lake",2200000,"FIFA 18"
"29092","Willem II",2700000,"FIFA 18"
"29093","Legia Warszawa",2200000,"FIFA 18"
"29094","Pogoń Szczecin",2200000,"FIFA 18"
"29095","Bari",2800000,"FIFA 18"
"29096","Osmanlıspor",2800000,"FIFA 18"
"29097","Standard de Liège",2800000,"FIFA 18"
"29098","Santos Laguna",2800000,"FIFA 18"
"29099","Cesena",2700000,"FIFA 18"
"29100","SV Darmstadt 98",2300000,"FIFA 18"
"29101","Pogoń Szczecin",2800000,"FIFA 18"
"29102","Houston Dynamo",2800000,"FIFA 18"
"29103","Angers SCO",2200000,"FIFA 18"
"29104","LA Galaxy",2900000,"FIFA 18"
"29105","Houston Dynamo",2300000,"FIFA 18"
"29106","Deportes Tolima",2200000,"FIFA 18"
"29107","River Plate",2800000,"FIFA 18"
"29108","Iceland",0,"FIFA 18"
"29109","Independiente Santa Fe",2200000,"FIFA 18"
"29110","Kaizer Chiefs",2200000,"FIFA 18"
"29111","Jeonbuk Hyundai Motors",2800000,"FIFA 18"
"29112","Vitória de Setúbal",2800000,"FIFA 18"
"29113","Heart of Midlothian",325000,"FIFA 18"
"29114","Portimonense SC",1600000,"FIFA 18"
"29115","Júbilo Iwata",650000,"FIFA 18"
"29116","LA Galaxy",270000,"FIFA 18"
"29117","Houston Dynamo",500000,"FIFA 18"
"29118","BSC Young Boys",725000,"FIFA 18"
"29119","IFK Göteborg",1100000,"FIFA 18"
"29120","FC Midtjylland",1200000,"FIFA 18"
"29121","RSC Anderlecht",325000,"FIFA 18"
"29122","Crystal Palace",160000,"FIFA 18"
"29123","FC Midtjylland",1400000,"FIFA 18"
"29124","Derby County",1500000,"FIFA 18"
"29125","Venezia FC",325000,"FIFA 18"
"29126","Dijon FCO",750000,"FIFA 18"
"29127","FC Lausanne-Sport",725000,"FIFA 18"
"29128","FC Lugano",725000,"FIFA 18"
"29129","IFK Norrköping",1200000,"FIFA 18"
"29130","SV Darmstadt 98",950000,"FIFA 18"
"29131","Brisbane Roar",1200000,"FIFA 18"
"29132","RB Leipzig",325000,"FIFA 18"
"29133","SK Sturm Graz",725000,"FIFA 18"
"29134","Osmanlıspor",950000,"FIFA 18"
"29135","Brighton & Hove Albion",1200000,"FIFA 18"
"29136","Gangwon FC",1500000,"FIFA 18"
"29137","Jeonbuk Hyundai Motors",850000,"FIFA 18"
"29138","KV Kortrijk",1800000,"FIFA 18"
"29139","SpVgg Greuther Fürth",2000000,"FIFA 18"
"29140","Avellino",1000000,"FIFA 18"
"29141","Parma",725000,"FIFA 18"
"29142","KAS Eupen",1400000,"FIFA 18"
"29143","Southend United",950000,"FIFA 18"
"29144","KV Oostende",325000,"FIFA 18"
"29145","Rayo Vallecano",725000,"FIFA 18"
"29146","Sheffield Wednesday",2200000,"FIFA 18"
"29147","Amiens SC",1300000,"FIFA 18"
"29148","Sunderland",1700000,"FIFA 18"
"29149","Ternana",725000,"FIFA 18"
"29150","Guadalajara",325000,"FIFA 18"
"29151","Derby County",1900000,"FIFA 18"
"29152","Aston Villa",1300000,"FIFA 18"
"29153","Pachuca",160000,"FIFA 18"
"29154","FC Tokyo",1100000,"FIFA 18"
"29155","Sheffield Wednesday",1800000,"FIFA 18"
"29156","SV Zulte-Waregem",1400000,"FIFA 18"
"29157","Parma",160000,"FIFA 18"
"29158","Estudiantes de La Plata",550000,"FIFA 18"
"29159","Club Atlético Huracán",800000,"FIFA 18"
"29160","AD Alcorcón",725000,"FIFA 18"
"29161","CD Lugo",725000,"FIFA 18"
"29162","Dinamo Moscow",1700000,"FIFA 18"
"29163","Córdoba CF",1200000,"FIFA 18"
"29164","Odds BK",900000,"FIFA 18"
"29165","Brisbane Roar",1400000,"FIFA 18"
"29166","SpVgg Greuther Fürth",950000,"FIFA 18"
"29167","Derby County",1800000,"FIFA 18"
"29168","Brighton & Hove Albion",1300000,"FIFA 18"
"29169","Oxford United",950000,"FIFA 18"
"29170","Malmö FF",2500000,"FIFA 18"
"29171","Rosario Central",1800000,"FIFA 18"
"29172","Newell's Old Boys",1400000,"FIFA 18"
"29173","Gimnasia y Esgrima La Plata",270000,"FIFA 18"
"29174","FC Sion",1200000,"FIFA 18"
"29175","Lobos BUAP",1400000,"FIFA 18"
"29176","FC Augsburg",1400000,"FIFA 18"
"29177","FC Utrecht",675000,"FIFA 18"
"29178","Monterrey",2200000,"FIFA 18"
"29179","MSV Duisburg",2200000,"FIFA 18"
"29180","Rangers FC",1800000,"FIFA 18"
"29181","Brighton & Hove Albion",1600000,"FIFA 18"
"29182","1. FC Köln",1400000,"FIFA 18"
"29183","CD Aves",1600000,"FIFA 18"
"29184","Cardiff City",2200000,"FIFA 18"
"29185","Sampdoria",325000,"FIFA 18"
"29186","Unión de Santa Fe",160000,"FIFA 18"
"29187","CD Everton de Viña del Mar",900000,"FIFA 18"
"29188","Santiago Wanderers",1800000,"FIFA 18"
"29189","CD Everton de Viña del Mar",2600000,"FIFA 18"
"29190","CD Antofagasta",1500000,"FIFA 18"
"29191","CD O'Higgins",1200000,"FIFA 18"
"29192","Deportes Iquique",900000,"FIFA 18"
"29193","CD Antofagasta",900000,"FIFA 18"
"29194","CD Universidad de Concepción",1800000,"FIFA 18"
"29195","Club Deportes Temuco",1800000,"FIFA 18"
"29196","Universidad Católica",2100000,"FIFA 18"
"29197","CD Everton de Viña del Mar",1800000,"FIFA 18"
"29198","Santiago Wanderers",2100000,"FIFA 18"
"29199","CD Huachipato",950000,"FIFA 18"
"29200","CD Palestino",1600000,"FIFA 18"
"29201","CD O'Higgins",2000000,"FIFA 18"
"29202","CD Huachipato",900000,"FIFA 18"
"29203","Colo-Colo",1400000,"FIFA 18"
"29204","CD Huachipato",2600000,"FIFA 18"
"29205","CD Huachipato",1500000,"FIFA 18"
"29206","Deportes Tolima",1400000,"FIFA 18"
"29207","Junior FC",950000,"FIFA 18"
"29208","Tiburones Rojos de Veracruz",1400000,"FIFA 18"
"29209","CD Tenerife",1900000,"FIFA 18"
"29210","FK Austria Wien",1700000,"FIFA 18"
"29211","Ipswich Town",1600000,"FIFA 18"
"29212","Querétaro",1100000,"FIFA 18"
"29213","Perth Glory",2100000,"FIFA 18"
"29214","FC Rostov",550000,"FIFA 18"
"29215","Norwich City",1600000,"FIFA 18"
"29216","CD Leganés",1400000,"FIFA 18"
"29217","Sunderland",2400000,"FIFA 18"
"29218","La Berrichonne de Châteauroux",1900000,"FIFA 18"
"29219","FK Austria Wien",1200000,"FIFA 18"
"29220","CD Lugo",1400000,"FIFA 18"
"29221","Malmö FF",1500000,"FIFA 18"
"29222","San Jose Earthquakes",1200000,"FIFA 18"
"29223","AFC Eskilstuna",1300000,"FIFA 18"
"29224","Atlético Tucumán",1600000,"FIFA 18"
"29225","América de Cali",2200000,"FIFA 18"
"29226","Heart of Midlothian",2400000,"FIFA 18"
"29227","Zenit St. Petersburg",1600000,"FIFA 18"
"29228","Odds BK",1600000,"FIFA 18"
"29229","Monterrey",1800000,"FIFA 18"
"29230","Yeni Malatyaspor",2400000,"FIFA 18"
"29231","Birmingham City",2000000,"FIFA 18"
"29232","Newcastle United",1400000,"FIFA 18"
"29233","Kashima Antlers",2300000,"FIFA 18"
"29234","Yeni Malatyaspor",2200000,"FIFA 18"
"29235","AIK",1900000,"FIFA 18"
"29236","Stade Malherbe Caen",1700000,"FIFA 18"
"29237","Al Raed",1900000,"FIFA 18"
"29238","En Avant de Guingamp",1600000,"FIFA 18"
"29239","Fulham",1800000,"FIFA 18"
"29240","Hull City",2400000,"FIFA 18"
"29241","Sheffield Wednesday",2300000,"FIFA 18"
"29242","Club Atlético Tigre",1100000,"FIFA 18"
"29243","Reading",2300000,"FIFA 18"
"29244","Middlesbrough",1900000,"FIFA 18"
"29245","Cádiz CF",900000,"FIFA 18"
"29246","Vélez Sarsfield",1900000,"FIFA 18"
"29247","Reading",1600000,"FIFA 18"
"29248","Molde FK",1800000,"FIFA 18"
"29249","Cardiff City",1400000,"FIFA 18"
"29250","Club Olimpo",1800000,"FIFA 18"
"29251","Legia Warszawa",1600000,"FIFA 18"
"29252","FC Utrecht",1800000,"FIFA 18"
"29253","PAOK",1400000,"FIFA 18"
"29254","Cagliari",2200000,"FIFA 18"
"29255","FC Zürich",160000,"FIFA 18"
"29256","FC Ingolstadt 04",1500000,"FIFA 18"
"29257","U.N.A.M.",2200000,"FIFA 18"
"29258","Beşiktaş JK",1900000,"FIFA 18"
"29259","Reading",2000000,"FIFA 18"
"29260","Kalmar FF",2400000,"FIFA 18"
"29261","Cádiz CF",1400000,"FIFA 18"
"29262","SV Darmstadt 98",2100000,"FIFA 18"
"29263","1. FC Kaiserslautern",2300000,"FIFA 18"
"29264","KV Kortrijk",2500000,"FIFA 18"
"29265","KAA Gent",2100000,"FIFA 18"
"29266","UD Almería",1300000,"FIFA 18"
"29267","Os Belenenses",1800000,"FIFA 18"
"29268","Korona Kielce",2300000,"FIFA 18"
"29269","Jeonbuk Hyundai Motors",1700000,"FIFA 18"
"29270","Sivasspor",1600000,"FIFA 18"
"29271","Akhisar Belediyespor",2200000,"FIFA 18"
"29272","Malmö FF",1800000,"FIFA 18"
"29273","CD Tenerife",1800000,"FIFA 18"
"29274","FC Thun",2300000,"FIFA 18"
"29275","FC Sion",2200000,"FIFA 18"
"29276","Puebla FC",1800000,"FIFA 18"
"29277","FC Paços de Ferreira",1400000,"FIFA 18"
"29278","Genoa",1700000,"FIFA 18"
"29279","Spezia",1400000,"FIFA 18"
"29280","Blackburn Rovers",1600000,"FIFA 18"
"29281","US Salernitana 1919",1800000,"FIFA 18"
"29282","Fortuna Düsseldorf",2400000,"FIFA 18"
"29283","Perth Glory",1800000,"FIFA 18"
"29284","IFK Göteborg",2200000,"FIFA 18"
"29285","Philadelphia Union",1600000,"FIFA 18"
"29286","Racing Club",1300000,"FIFA 18"
"29287","U.N.A.M.",2400000,"FIFA 18"
"29288","Trabzonspor",1900000,"FIFA 18"
"29289","FC Metz",950000,"FIFA 18"
"29290","Ipswich Town",2400000,"FIFA 18"
"29291","Akhisar Belediyespor",1800000,"FIFA 18"
"29292","Legia Warszawa",1900000,"FIFA 18"
"29293","Portland Timbers",1800000,"FIFA 18"
"29294","Yeni Malatyaspor",1800000,"FIFA 18"
"29295","Sydney FC",1400000,"FIFA 18"
"29296","ESTAC Troyes",1800000,"FIFA 18"
"29297","Racing Club",550000,"FIFA 18"
"29298","Leeds United",1900000,"FIFA 18"
"29299","Bolton Wanderers",2000000,"FIFA 18"
"29300","FC Erzgebirge Aue",1600000,"FIFA 18"
"29301","Amiens SC",2300000,"FIFA 18"
"29302","Aberdeen",1800000,"FIFA 18"
"29303","AS Saint-Étienne",1900000,"FIFA 18"
"29304","Odense Boldklub",1600000,"FIFA 18"
"29305","VfL Bochum 1848",1900000,"FIFA 18"
"29306","Excelsior",1600000,"FIFA 18"
"29307","Cesena",2500000,"FIFA 18"
"29308","Estoril Praia",1700000,"FIFA 18"
"29309","Vissel Kobe",1800000,"FIFA 18"
"29310","FC Dallas",800000,"FIFA 18"
"29311","PAOK",1500000,"FIFA 18"
"29312","Benevento",2400000,"FIFA 18"
"29313","Pescara",1600000,"FIFA 18"
"29314","Lechia Gdańsk",1400000,"FIFA 18"
"29315","Clube Sport Marítimo",2300000,"FIFA 18"
"29316","Club León",1900000,"FIFA 18"
"29317","Sporting Kansas City",2200000,"FIFA 18"
"29318","Granada CF",1800000,"FIFA 18"
"29319","U.N.A.M.",1800000,"FIFA 18"
"29320","Estoril Praia",1800000,"FIFA 18"
"29321","Kaizer Chiefs",1300000,"FIFA 18"
"29322","Guadalajara",1900000,"FIFA 18"
"29323","Legia Warszawa",1800000,"FIFA 18"
"29324","Hannover 96",1800000,"FIFA 18"
"29325","Olympiacos CFP",2400000,"FIFA 18"
"29326","SPAL",2200000,"FIFA 18"
"29327","Central Coast Mariners",1400000,"FIFA 18"
"29328","ADO Den Haag",1800000,"FIFA 18"
"29329","Charlton Athletic",1900000,"FIFA 18"
"29330","KAS Eupen",1800000,"FIFA 18"
"29331","Stade Brestois 29",1700000,"FIFA 18"
"29332","Empoli",2400000,"FIFA 18"
"29333","Palermo",1600000,"FIFA 18"
"29334","Jagiellonia Białystok",2400000,"FIFA 18"
"29335","Legia Warszawa",2500000,"FIFA 18"
"29336","Palermo",2400000,"FIFA 18"
"29337","Spezia",2500000,"FIFA 18"
"29338","Al Faisaly",2200000,"FIFA 18"
"29339","Sparta Praha",1600000,"FIFA 18"
"29340","Akhisar Belediyespor",2500000,"FIFA 18"
"29341","Amkar Perm",2000000,"FIFA 18"
"29342","Brentford",2000000,"FIFA 18"
"29343","Kawasaki Frontale",2500000,"FIFA 18"
"29344","IFK Göteborg",1900000,"FIFA 18"
"29345","Club Atlético Huracán",550000,"FIFA 18"
"29346","AFC Eskilstuna",1600000,"FIFA 18"
"29347","Jeju United FC",2000000,"FIFA 18"
"29348","Al Hilal",1600000,"FIFA 18"
"29349","Grasshopper Club Zürich",2500000,"FIFA 18"
"29350","Rio Ave FC",1900000,"FIFA 18"
"29351","Adelaide United",2400000,"FIFA 18"
"29352","Plymouth Argyle",2400000,"FIFA 18"
"29353","Dinamo Moscow",2400000,"FIFA 18"
"29354","La Berrichonne de Châteauroux",2400000,"FIFA 18"
"29355","CD Numancia",2500000,"FIFA 18"
"29356","DSC Arminia Bielefeld",2400000,"FIFA 18"
"29357","FC Augsburg",1500000,"FIFA 18"
"29358","FC Ingolstadt 04",2100000,"FIFA 18"
"29359","FC Lorient",1600000,"FIFA 18"
"29360","Club América",1700000,"FIFA 18"
"29361","Sanfrecce Hiroshima",2500000,"FIFA 18"
"29362","Racing Club",1600000,"FIFA 18"
"29363","DC United",550000,"FIFA 18"
"29364","1. FC Union Berlin",1700000,"FIFA 18"
"29365","1. FC Kaiserslautern",1900000,"FIFA 18"
"29366","BSC Young Boys",2500000,"FIFA 18"
"29367","En Avant de Guingamp",2500000,"FIFA 18"
"29368","Lechia Gdańsk",1800000,"FIFA 18"
"29369","FC Metz",2000000,"FIFA 18"
"29370","Kayserispor",2500000,"FIFA 18"
"29371","Monarcas Morelia",1000000,"FIFA 18"
"29372","Al Shabab",1800000,"FIFA 18"
"29373","New England Revolution",1800000,"FIFA 18"
"29374","CD Feirense",2000000,"FIFA 18"
"29375","CD Numancia",1800000,"FIFA 18"
"29376","Houston Dynamo",1400000,"FIFA 18"
"29377","Al Ahli",1200000,"FIFA 18"
"29378","Chicago Fire",2400000,"FIFA 18"
"29379","Toronto FC",1800000,"FIFA 18"
"29380","Huddersfield Town",2400000,"FIFA 18"
"29381","Dijon FCO",2500000,"FIFA 18"
"29382","Gimnàstic de Tarragona",1600000,"FIFA 18"
"29383","Girona FC",1800000,"FIFA 18"
"29384","Arsenal Tula",2400000,"FIFA 18"
"29385","Club Atlético Colón",1500000,"FIFA 18"
"29386","IF Elfsborg",2400000,"FIFA 18"
"29387","Bari",2300000,"FIFA 18"
"29388","SC Freiburg",2000000,"FIFA 18"
"29389","VfL Bochum 1848",1600000,"FIFA 18"
"29390","Suwon Samsung Bluewings",2100000,"FIFA 18"
"29391","AS Nancy Lorraine",1800000,"FIFA 18"
"29392","Racing Club",1800000,"FIFA 18"
"29393","New York Red Bulls",2500000,"FIFA 18"
"29394","Rio Ave FC",2400000,"FIFA 18"
"29395","FC St. Pauli",2200000,"FIFA 18"
"29396","Gençlerbirliği SK",2300000,"FIFA 18"
"29397","Lech Poznań",2500000,"FIFA 18"
"29398","FC Ural Yekaterinburg",1600000,"FIFA 18"
"29399","CD Aves",2400000,"FIFA 18"
"29400","Cerezo Osaka",1600000,"FIFA 18"
"29401","Defensa y Justicia",2300000,"FIFA 18"
"29402","Ventforet Kofu",2400000,"FIFA 18"
"29403","FC Nordsjælland",2400000,"FIFA 18"
"29404","Sporting de Charleroi",950000,"FIFA 18"
"29405","Jeonnam Dragons",2400000,"FIFA 18"
"29406","Adelaide United",1800000,"FIFA 18"
"29407","Portland Timbers",1600000,"FIFA 18"
"29408","SV Sandhausen",1800000,"FIFA 18"
"29409","FC Lorient",2400000,"FIFA 18"
"29410","CD Tenerife",1600000,"FIFA 18"
"29411","Sporting de Charleroi",2100000,"FIFA 18"
"29412","Galatasaray SK",1600000,"FIFA 18"
"29413","Everton",2000000,"FIFA 18"
"29414","CD Aves",2100000,"FIFA 18"
"29415","Kashiwa Reysol",2500000,"FIFA 18"
"29416","Lech Poznań",1400000,"FIFA 18"
"29417","AEK Athens",2500000,"FIFA 18"
"29418","Crotone",2500000,"FIFA 18"
"29419","KV Mechelen",1800000,"FIFA 18"
"29420","KAS Eupen",2300000,"FIFA 18"
"29421","Al Ahli",2300000,"FIFA 18"
"29422","Tiburones Rojos de Veracruz",1000000,"FIFA 18"
"29423","Arsenal de Sarandí",1400000,"FIFA 18"
"29424","Yeni Malatyaspor",2300000,"FIFA 18"
"29425","DSC Arminia Bielefeld",1800000,"FIFA 18"
"29426","Korona Kielce",2200000,"FIFA 18"
"29427","Al Ahli",1300000,"FIFA 18"
"29428","Göztepe SK",2300000,"FIFA 18"
"29429","New York City FC",2000000,"FIFA 18"
"29430","SK Brann",1800000,"FIFA 18"
"29431","Deportes Tolima",2300000,"FIFA 18"
"29432","Independiente Medellín",1500000,"FIFA 18"
"29433","Al Fayha",2400000,"FIFA 18"
"29434","Rosario Central",2000000,"FIFA 18"
"29435","Defensa y Justicia",1600000,"FIFA 18"
"29436","Club Atlético Tigre",1800000,"FIFA 18"
"29437","Waasland-Beveren",2000000,"FIFA 18"
"29438","Parma",2000000,"FIFA 18"
"29439","Pachuca",2000000,"FIFA 18"
"29440","Club Necaxa",2300000,"FIFA 18"
"29441","Urawa Red Diamonds",2300000,"FIFA 18"
"29442","FC Anzhi Makhachkala",1800000,"FIFA 18"
"29443","Suwon Samsung Bluewings",2500000,"FIFA 18"
"29444","Al Ittihad",1800000,"FIFA 18"
"29445","GD Chaves",2400000,"FIFA 18"
"29446","Racing Club de Lens",2400000,"FIFA 18"
"29447","Puebla FC",2300000,"FIFA 18"
"29448","FC Ufa",1600000,"FIFA 18"
"29449","Orlando Pirates",1800000,"FIFA 18"
"29450","Panathinaikos FC",2000000,"FIFA 18"
"29451","Boavista FC",2000000,"FIFA 18"
"29452","Junior FC",1800000,"FIFA 18"
"29453","Júbilo Iwata",2400000,"FIFA 18"
"29454","Club Tijuana",2300000,"FIFA 18"
"29455","Patronato",1900000,"FIFA 18"
"29456","Stade Brestois 29",2500000,"FIFA 18"
"29457","Pachuca",1900000,"FIFA 18"
"29458","Alanyaspor",2400000,"FIFA 18"
"29459","São Paulo",900000,"FIFA 18"
"29460","Palmeiras",1800000,"FIFA 18"
"29461","Botafogo",2600000,"FIFA 18"
"29462","Atlético Mineiro",1400000,"FIFA 18"
"29463","Cruzeiro",2600000,"FIFA 18"
"29464","Fluminense",1500000,"FIFA 18"
"29465","Ponte Preta",1200000,"FIFA 18"
"29466","Santos",1200000,"FIFA 18"
"29467","Cruzeiro",900000,"FIFA 18"
"29468","Botafogo",900000,"FIFA 18"
"29469","Coritiba",1800000,"FIFA 18"
"29470","São Paulo",1800000,"FIFA 18"
"29471","Coritiba",2100000,"FIFA 18"
"29472","Atlético Mineiro",2100000,"FIFA 18"
"29473","Chapecoense",1800000,"FIFA 18"
"29474","Fluminense",2100000,"FIFA 18"
"29475","Palmeiras",1400000,"FIFA 18"
"29476","Cruzeiro",950000,"FIFA 18"
"29477","Patronato",160000,"FIFA 18"
"29478","Botafogo",1200000,"FIFA 18"
"29479","Atlético Mineiro",1600000,"FIFA 18"
"29480","Santos",1800000,"FIFA 18"
"29481","Atlético Clube Goianiense",2000000,"FIFA 18"
"29482","AS Nancy Lorraine",1600000,"FIFA 18"
"29483","RC Strasbourg Alsace",1800000,"FIFA 18"
"29484","SPAL",2300000,"FIFA 18"
"29485","Atlético Mineiro",900000,"FIFA 18"
"29486","Palmeiras",2000000,"FIFA 18"
"29487","Cruzeiro",1400000,"FIFA 18"
"29488","Fluminense",2600000,"FIFA 18"
"29489","Botafogo",1500000,"FIFA 18"
"29490","FC Girondins de Bordeaux",3800000,"FIFA 18"
"29491","Boca Juniors",3500000,"FIFA 18"
"29492","RC Celta",3800000,"FIFA 18"
"29493","Boavista FC",3800000,"FIFA 18"
"29494","Deportivo de La Coruña",3600000,"FIFA 18"
"29495","Liverpool",3800000,"FIFA 18"
"29496","West Bromwich Albion",3900000,"FIFA 18"
"29497","New York City FC",3900000,"FIFA 18"
"29498","Sevilla Atlético",3500000,"FIFA 18"
"29499","FC Rostov",3400000,"FIFA 18"
"29500","River Plate",3100000,"FIFA 18"
"29501","Eintracht Frankfurt",3400000,"FIFA 18"
"29502","Celtic",3100000,"FIFA 18"
"29503","GFC Ajaccio",3100000,"FIFA 18"
"29504","VfB Stuttgart",3200000,"FIFA 18"
"29505","FC Barcelona B",3200000,"FIFA 18"
"29506","Liverpool",2800000,"FIFA 18"
"29507","Girona FC",3100000,"FIFA 18"
"29508","Leicester City",2800000,"FIFA 18"
"29509","Leeds United",2800000,"FIFA 18"
"29510","VfB Stuttgart",3100000,"FIFA 18"
"29511","AS Monaco",3200000,"FIFA 18"
"29512","PFC CSKA Moscow",3100000,"FIFA 18"
"29513","Toulouse Football Club",2700000,"FIFA 18"
"29514","KAA Gent",3100000,"FIFA 18"
"29515","Columbus Crew SC",3000000,"FIFA 18"
"29516","Birmingham City",3100000,"FIFA 18"
"29517","GD Chaves",3100000,"FIFA 18"
"29518","RC Strasbourg Alsace",2400000,"FIFA 18"
"29519","OGC Nice",3100000,"FIFA 18"
"29520","Villarreal CF",3100000,"FIFA 18"
"29521","SV Darmstadt 98",3100000,"FIFA 18"
"29522","CF Reus Deportiu",3000000,"FIFA 18"
"29523","Estudiantes de La Plata",3100000,"FIFA 18"
"29524","RCD Espanyol",3000000,"FIFA 18"
"29525","Fiorentina",2600000,"FIFA 18"
"29526","FC Basel 1893",2200000,"FIFA 18"
"29527","Estoril Praia",2900000,"FIFA 18"
"29528","FC Nordsjælland",2900000,"FIFA 18"
"29529","Ajax",2800000,"FIFA 18"
"29530","Milan",2500000,"FIFA 18"
"29531","SPAL",2500000,"FIFA 18"
"29532","Chievo Verona",2900000,"FIFA 18"
"29533","Hamburger SV",2200000,"FIFA 18"
"29534","RB Leipzig",2800000,"FIFA 18"
"29535","Hellas Verona",2900000,"FIFA 18"
"29536","Inter",2800000,"FIFA 18"
"29537","Racing Club",2900000,"FIFA 18"
"29538","River Plate",2200000,"FIFA 18"
"29539","Spartak Moscow",2500000,"FIFA 18"
"29540","Valencia CF",2800000,"FIFA 18"
"29541","Club Brugge KV",2900000,"FIFA 18"
"29542","Gamba Osaka",2500000,"FIFA 18"
"29543","Eintracht Frankfurt",2900000,"FIFA 18"
"29544","Real Sociedad",2800000,"FIFA 18"
"29545","Celtic",2800000,"FIFA 18"
"29546","LOSC Lille",2800000,"FIFA 18"
"29547","CD Lugo",2400000,"FIFA 18"
"29548","Newcastle United",2700000,"FIFA 18"
"29549","Sampdoria",2700000,"FIFA 18"
"29550","Vélez Sarsfield",2400000,"FIFA 18"
"29551","FC Sion",2400000,"FIFA 18"
"29552","Ajax",2400000,"FIFA 18"
"29553","Moreirense FC",2800000,"FIFA 18"
"29554","Legia Warszawa",2700000,"FIFA 18"
"29555","FC Lorient",2700000,"FIFA 18"
"29556","BSC Young Boys",2800000,"FIFA 18"
"29557","Sarpsborg 08 FF",2400000,"FIFA 18"
"29558","Villarreal CF",2700000,"FIFA 18"
"29559","Club Atlético Colón",2800000,"FIFA 18"
"29560","Real Betis",2300000,"FIFA 18"
"29561","Levante UD",2400000,"FIFA 18"
"29562","Getafe CF",2100000,"FIFA 18"
"29563","FC Barcelona",2000000,"FIFA 18"
"29564","Ipswich Town",2600000,"FIFA 18"
"29565","MSV Duisburg",2600000,"FIFA 18"
"29566","Liverpool",2000000,"FIFA 18"
"29567","Real Sociedad",2200000,"FIFA 18"
"29568","Atalanta",2000000,"FIFA 18"
"29569","Empoli",2600000,"FIFA 18"
"29570","Chievo Verona",2600000,"FIFA 18"
"29571","Nottingham Forest",2600000,"FIFA 18"
"29572","VfL Osnabrück",2000000,"FIFA 18"
"29573","1. FC Kaiserslautern",2700000,"FIFA 18"
"29574","FC Rostov",2700000,"FIFA 18"
"29575","SV Zulte-Waregem",2700000,"FIFA 18"
"29576","SC Braga",2000000,"FIFA 18"
"29577","Royal Antwerp FC",2700000,"FIFA 18"
"29578","FC Twente",2200000,"FIFA 18"
"29579","Montpellier HSC",2600000,"FIFA 18"
"29580","Sporting Lokeren",2300000,"FIFA 18"
"29581","Estoril Praia",2600000,"FIFA 18"
"29582","Lorca FC",2600000,"FIFA 18"
"29583","Valencia CF",2600000,"FIFA 18"
"29584","SC Heerenveen",2200000,"FIFA 18"
"29585","Sevilla FC",2600000,"FIFA 18"
"29586","Trabzonspor",2600000,"FIFA 18"
"29587","KV Mechelen",2700000,"FIFA 18"
"29588","Standard de Liège",2600000,"FIFA 18"
"29589","Rio Ave FC",2600000,"FIFA 18"
"29590","KAA Gent",2700000,"FIFA 18"
"29591","Everton",2100000,"FIFA 18"
"29592","Brighton & Hove Albion",2100000,"FIFA 18"
"29593","Stabæk Fotball",2500000,"FIFA 18"
"29594","FC Barcelona B",2100000,"FIFA 18"
"29595","Sampdoria",2100000,"FIFA 18"
"29596","Middlesbrough",2500000,"FIFA 18"
"29597","Chievo Verona",2500000,"FIFA 18"
"29598","Göztepe SK",2500000,"FIFA 18"
"29599","Boca Juniors",2100000,"FIFA 18"
"29600","Vitória Guimarães",2500000,"FIFA 18"
"29601","Os Belenenses",2500000,"FIFA 18"
"29602","Dinamo Moscow",2100000,"FIFA 18"
"29603","Lechia Gdańsk",2100000,"FIFA 18"
"29604","Stade Rennais FC",2500000,"FIFA 18"
"29605","LOSC Lille",2500000,"FIFA 18"
"29606","CD Tenerife",2100000,"FIFA 18"
"29607","Malmö FF",2600000,"FIFA 18"
"29608","SK Rapid Wien",2100000,"FIFA 18"
"29609","CD Feirense",2100000,"FIFA 18"
"29610","KV Oostende",2100000,"FIFA 18"
"29611","Barnsley",2100000,"FIFA 18"
"29612","Club Olimpo",2100000,"FIFA 18"
"29613","Al Hilal",2100000,"FIFA 18"
"29614","Club Atlético Lanús",2100000,"FIFA 18"
"29615","SC Heerenveen",2500000,"FIFA 18"
"29616","Defensa y Justicia",1800000,"FIFA 18"
"29617","Real Zaragoza",2500000,"FIFA 18"
"29618","Club Atlético Banfield",2200000,"FIFA 18"
"29619","Rio Ave FC",2500000,"FIFA 18"
"29620","Roda JC Kerkrade",1800000,"FIFA 18"
"29621","Vitória Guimarães",2100000,"FIFA 18"
"29622","Yokohama F. Marinos",2100000,"FIFA 18"
